id,rg,ctr_n,ctr,yr,mn,unit_type,unit_name,unit_n,pty_n,pty,can,pev1,vot1,vv1,ivv1,to1,cv1,cvs1,pv1,pvs1,pev2,vot2,vv2,ivv2,to2,cv2,cvs2,pv2,pvs2
5,Latin America,Uruguay,598,1994,11,Department,Paysandú,11,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,63484,63484,-990,-990,24553,0.37611248,24553,0.37611248,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Paysandú,11,FrenteAmplio,13,Tabaré Vázquez,-990,63484,63484,-990,-990,17804,0.272728672,17804,0.272728672,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Río Negro,12,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,30481,30481,-990,-990,13335,0.42691124,13335,0.42691124,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Río Negro,12,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,30481,30481,-990,-990,11510,0.368485069,11510,0.368485069,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Río Negro,12,FrenteAmplio,13,Tabaré Vázquez,-990,30481,30481,-990,-990,5636,0.180432835,5636,0.180432835,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Rivera,13,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,62189,62189,-990,-990,31611,0.502591591,31611,0.502591591,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Rivera,13,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,62189,62189,-990,-990,24706,0.392807159,24706,0.392807159,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Rivera,13,FrenteAmplio,13,Tabaré Vázquez,-990,62189,62189,-990,-990,5872,0.093360472,5872,0.093360472,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Rocha,14,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,44660,44660,-990,-990,20376,0.440324135,20376,0.440324135,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Rocha,14,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,44660,44660,-990,-990,18017,0.389346313,18017,0.389346313,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Rocha,14,FrenteAmplio,13,Tabaré Vázquez,-990,44660,44660,-990,-990,6267,0.135429497,6267,0.135429497,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Salto,15,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,68466,68466,-990,-990,29311,0.418256531,29311,0.418256531,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Salto,15,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,68466,68466,-990,-990,24518,0.349862289,24518,0.349862289,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Salto,15,FrenteAmplio,13,Tabaré Vázquez,-990,68466,68466,-990,-990,14637,0.208864288,14637,0.208864288,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,San José,16,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,55987,55987,-990,-990,18018,0.30504858,18018,0.30504858,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,San José,16,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,55987,55987,-990,-990,25955,0.439423714,25955,0.439423714,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,San José,16,FrenteAmplio,13,Tabaré Vázquez,-990,55987,55987,-990,-990,12014,0.203399582,12014,0.203399582,-990,-990,-990,-990,-990,-990,-990,-990,-990
